assay,comparison,metric,auroc,auroc_ci_lo,auroc_ci_hi,rank_biserial,n,n_quantitative,n_censored
IC50,pooled,I_sc_best,0.640590664279609,0.6287737802412766,0.6523983873381503,0.28118132855921796,13622,10901,2721
IC50,pooled,I_sc_mean,0.6028270673406555,0.5908235844144751,0.6142693173739939,0.205654134681311,13622,10901,2721
IC50,pooled,reweighted_sc_best,0.5437935269957094,0.5314852639310231,0.5563414673022228,0.08758705399141875,13622,10901,2721
IC50,pooled,reweighted_sc_mean,0.5053165334423226,0.49306990533860423,0.5175532816133553,0.01063306688464527,13622,10901,2721
IC50,pooled,total_score_best,0.4847889634892172,0.47296461417805713,0.49690635025417546,-0.030422073021565632,13622,10901,2721
IC50,pooled,total_score_mean,0.4842650710155052,0.47228242693874906,0.49754858509960725,-0.0314698579689896,13622,10901,2721
IC50,pooled_strong_binder_only,I_sc_best,0.715939421767169,0.7034602416967297,0.7282809557497194,0.4318788435343379,7084,4363,2721
IC50,pooled_strong_binder_only,I_sc_mean,0.669493004511645,0.6564799841039897,0.6817786568262237,0.3389860090232899,7084,4363,2721
IC50,pooled_strong_binder_only,reweighted_sc_best,0.5899411146975042,0.5771554066523255,0.6034498979908469,0.17988222939500842,7084,4363,2721
IC50,pooled_strong_binder_only,reweighted_sc_mean,0.5306795399454654,0.5173191277443246,0.5445904018883839,0.0613590798909307,7084,4363,2721
IC50,pooled_strong_binder_only,total_score_best,0.5009133467820972,0.4867974922247774,0.5142944591023015,0.0018266935641944038,7084,4363,2721
IC50,pooled_strong_binder_only,total_score_mean,0.49601321560484524,0.48228396864778483,0.5106222590060459,-0.007973568790309526,7084,4363,2721
KD,pooled,I_sc_best,0.6573851400242401,0.6510265050975809,0.6642183773227197,0.3147702800484802,35851,9517,26334
KD,pooled,I_sc_mean,0.6526195077167576,0.6464749415449912,0.6589225617098762,0.30523901543351517,35851,9517,26334
KD,pooled,reweighted_sc_best,0.62369673263752,0.6174449786588103,0.6299568639224853,0.24739346527504003,35851,9517,26334
KD,pooled,reweighted_sc_mean,0.5820506498669675,0.5753284120185346,0.5883281695754519,0.16410129973393506,35851,9517,26334
KD,pooled,total_score_best,0.5686004767731097,0.562372907637682,0.5752483653677882,0.1372009535462193,35851,9517,26334
KD,pooled,total_score_mean,0.5455632395982905,0.5386565515068804,0.5520269913789487,0.0911264791965809,35851,9517,26334
KD,pooled_strong_binder_only,I_sc_best,0.6828264479380268,0.674944987346416,0.6900964553509906,0.36565289587605365,32584,6250,26334
KD,pooled_strong_binder_only,I_sc_mean,0.6755022313359156,0.6676374130623277,0.6834599121881978,0.35100446267183116,32584,6250,26334
KD,pooled_strong_binder_only,reweighted_sc_best,0.6443109106098579,0.6367054399739956,0.6516817105056286,0.2886218212197158,32584,6250,26334
KD,pooled_strong_binder_only,reweighted_sc_mean,0.5968822875370243,0.5891693678450839,0.6046316622642038,0.19376457507404865,32584,6250,26334
KD,pooled_strong_binder_only,total_score_best,0.580622899673426,0.5732700668603018,0.5883895039286526,0.1612457993468519,32584,6250,26334
KD,pooled_strong_binder_only,total_score_mean,0.5549128882813092,0.547062941692652,0.5632036321710394,0.1098257765626185,32584,6250,26334
